datetime,demand_kw,temperature_c,humidity_pct,wind_speed_kmh,dew_point_c,solar_irradiance,is_weekend,is_holiday,hour,day_of_week,month,season
2011-09-01 08:00:00,3900000.0,27.365748658017445,84.96117897840811,14.058748835890173,24.357984453699068,251.3410844516282,0,0,8,3,9,monsoon
2011-09-01 09:00:00,3900000.0,26.296206153807915,79.06120356714086,13.03397359651693,22.10844686723609,357.4344460076819,0,0,9,3,9,monsoon
2011-09-01 10:00:00,3900000.0,30.473496655305887,80.52987846315551,12.321976945142202,26.57947234793699,461.900889780862,0,0,10,3,9,monsoon
2011-09-01 11:00:00,3900000.0,31.77009151187675,70.4806731723875,10.301736359647562,25.86622614635425,442.1812285493684,0,0,11,3,9,monsoon
2011-09-01 12:00:00,3900000.0,27.601289199510255,84.69221076524565,10.557217753997083,24.539731352559386,459.34458993944685,0,0,12,3,9,monsoon
2011-09-01 13:00:00,3900000.0,29.173875844327593,77.61164811277821,9.515696879110394,24.696205466883235,452.7092788434019,0,0,13,3,9,monsoon
2011-09-01 14:00:00,3900000.0,31.765058307819295,76.08538565403593,11.272419018267097,26.982135438626482,482.216579885926,0,0,14,3,9,monsoon
2011-09-01 15:00:00,3900000.0,30.849968599009447,75.39317481803737,8.388827086114713,25.92860356261692,383.8097565656043,0,0,15,3,9,monsoon
2011-09-01 16:00:00,3900000.0,30.889487052464485,72.17208674279945,9.522669262914341,25.323904401024375,293.5290268981869,0,0,16,3,9,monsoon
2011-09-01 17:00:00,3900000.0,28.7209568171366,76.6427248121022,8.865209777963038,24.04950177955704,113.869258763783,0,0,17,3,9,monsoon
2011-09-01 18:00:00,3900000.0,30.69270617970172,72.66361324832161,10.468175137263923,25.22542882936604,5.525989448985124e-14,0,0,18,3,9,monsoon
2011-09-01 19:00:00,3900000.0,29.386425424645974,80.84994743104255,15.684394333841603,25.556414910854485,0.0,0,0,19,3,9,monsoon
2011-09-01 20:00:00,3900000.0,26.95998180828898,77.22073053719662,12.457176938776374,22.404127915728303,0.0,0,0,20,3,9,monsoon
2011-09-01 21:00:00,3900000.0,27.54759016229872,70.22463271496166,12.084625488456192,21.592516705291054,0.0,0,0,21,3,9,monsoon
2011-09-01 22:00:00,3900000.0,25.292495504263393,71.33963537121653,13.245081975645359,19.5604225785067,0.0,0,0,22,3,9,monsoon
2011-09-01 23:00:00,3900000.0,22.063530563956636,74.0092317308369,15.50978706217473,16.865376910124017,0.0,0,0,23,3,9,monsoon
2011-09-02 00:00:00,3900000.0,23.234379827071095,84.67891194340574,14.637323177526126,20.170162215752242,0.0,0,0,0,4,9,monsoon
2011-09-02 01:00:00,3900000.0,20.507871086949788,78.28539446487797,12.49851441801564,16.16494997992538,0.0,0,0,1,4,9,monsoon
2011-09-02 02:00:00,3900000.0,23.471188404140072,82.87635931546677,17.82026729661598,20.046460267233428,0.0,0,0,2,4,9,monsoon
2011-09-02 03:00:00,3900000.0,22.05309745968246,83.33508487374286,14.378706688498905,18.72011443443103,0.0,0,0,3,4,9,monsoon
2011-09-02 04:00:00,3900000.0,22.293237476103904,82.1125432969576,14.876194422918225,18.715746135495422,0.0,0,0,4,4,9,monsoon
2011-09-02 05:00:00,3900000.0,22.196840794854232,84.71486930154305,16.575721680197795,19.13981465516284,0.0,0,0,5,4,9,monsoon
2011-09-02 06:00:00,3900000.0,26.40614316766356,79.52598883455543,19.223717130687515,22.31134093457465,0.0,0,0,6,4,9,monsoon
2011-09-02 07:00:00,3900000.0,25.198673260418897,66.27254535171824,13.086067668073856,18.453182330762544,164.9072071516564,0,0,7,4,9,monsoon
2011-09-02 08:00:00,3900000.0,25.949665594240425,77.52717476094116,15.301159926109822,21.45510054642866,229.40336211585506,0,0,8,4,9,monsoon
2011-09-02 09:00:00,3900000.0,27.29564536806956,80.05943483905455,11.947903470325,23.30753233588047,385.41826306627644,0,0,9,4,9,monsoon
2011-09-02 10:00:00,3900000.0,29.932748507358397,83.76194039715243,12.335015536680986,26.685136586788882,448.97263588402114,0,0,10,4,9,monsoon
2011-09-02 11:00:00,3900000.0,30.622479672913414,83.37205637729042,9.996853984564565,27.296890948371498,505.27218730849614,0,0,11,4,9,monsoon
2011-09-02 12:00:00,3900000.0,31.44978772941775,67.37943847559775,10.132346364482924,24.9256754245373,487.78950043837824,0,0,12,4,9,monsoon
2011-09-02 13:00:00,3900000.0,31.95006998058973,71.99631052090537,10.556070917138388,26.349332084770804,547.4631339742352,0,0,13,4,9,monsoon
2011-09-02 14:00:00,3900000.0,35.01862381339749,63.15266449940228,10.72965929097711,27.649156713277947,488.57085176996105,0,0,14,4,9,monsoon
2011-09-02 15:00:00,3900000.0,30.526768747622484,82.62533350269017,10.3804105192208,27.051835448160517,464.6342764250159,0,0,15,4,9,monsoon
2011-09-02 16:00:00,3900000.0,29.877329650282956,80.6746843554881,11.35188284582425,26.012266521380575,230.31209753677723,0,0,16,4,9,monsoon
2011-09-02 17:00:00,3900000.0,28.61781112547309,78.4969094213901,9.161726154359398,24.317193009751108,113.57200063856936,0,0,17,4,9,monsoon
2011-09-02 18:00:00,3900000.0,30.07498791029605,76.26298518703462,9.727895337850185,25.327584947702974,7.754032877781787e-14,0,0,18,4,9,monsoon
2011-09-02 19:00:00,3900000.0,29.813525301525072,82.5709827303748,10.173093475553902,26.32772184760003,0.0,0,0,19,4,9,monsoon
2011-09-02 20:00:00,3900000.0,26.484112213904417,84.72092498128671,10.361075548904951,23.42829721016176,0.0,0,0,20,4,9,monsoon
