column,missing_values,mean,median,std,min,max,skewness,kurtosis
datetime,0,,,,2011-09-01 08:00:00,2012-08-31 07:00:00,,
demand_kw,0,3128315.516937807,3138987.4663488744,724740.2817641892,1850000.0,3900000.0,-0.33694899964292885,-1.2816533336766913
temperature_c,0,24.749994547651564,24.794994154782266,8.517135688686453,3.8973212046841326,45.291764414711416,-0.005088050203472876,-0.926722956068049
humidity_pct,0,64.19791616433167,65.65943605136198,13.061055894288216,27.06834600629532,98.0,-0.18642472715236527,-0.8533686736790309
wind_speed_kmh,0,10.545080036880643,10.499488269818583,2.4615244869839876,5.621648267991912,24.191384757123608,0.41576700326083504,0.2251494956159763
dew_point_c,0,17.589577780517896,17.64181775806798,7.450269197454136,-1.5502735830604477,35.837112548001194,-0.007625745169855724,-1.046674468613789
solar_irradiance,0,235.7064748101052,2.1982187248144675e-14,296.25138629622546,0.0,978.6066652700738,0.8081923694998591,-0.865549025260747
is_weekend,0,0.28493150684931506,0.0,0.4514075813862126,0.0,1.0,0.9529337949540754,-1.0919171824344238
is_holiday,0,0.024657534246575342,0.0,0.1550879942039261,0.0,1.0,6.130321072703449,35.580836454431974
hour,0,11.5,11.5,6.922581688234342,0.0,23.0,0.0,-1.204173913043478
day_of_week,0,3.0009132420091325,3.0,1.9976008184904104,0.0,6.0,-0.0012569999690922396,-1.2459363719223855
month,0,6.508675799086758,7.0,3.4547511448936707,1.0,12.0,-0.001965823357627562,-1.2133455620246565
season,0,,,,monsoon,winter,,
